lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,13140360,13140432,13140396,72
results/06_tiger/lib1_MappedOn_tair10,Chr2,1599294,1599514,1599404,220
results/06_tiger/lib1_MappedOn_tair10,Chr2,7549867,7549990,7549929,123
results/06_tiger/lib1_MappedOn_tair10,Chr3,10304623,10304686,10304655,63
results/06_tiger/lib1_MappedOn_tair10,Chr3,20315010,20317049,20316030,2039
results/06_tiger/lib1_MappedOn_tair10,Chr4,8056982,8057209,8057096,227
results/06_tiger/lib1_MappedOn_tair10,Chr5,10647512,10648245,10647878,733
results/06_tiger/lib10_MappedOn_tair10,Chr1,8940149,8941255,8940702,1106
results/06_tiger/lib10_MappedOn_tair10,Chr2,1568825,1569940,1569383,1115
results/06_tiger/lib10_MappedOn_tair10,Chr2,9550209,9550330,9550269,121
results/06_tiger/lib10_MappedOn_tair10,Chr3,12102005,12102067,12102036,62
results/06_tiger/lib10_MappedOn_tair10,Chr5,13596031,13596497,13596264,466
results/06_tiger/lib10_MappedOn_tair10,Chr5,15071562,15072087,15071824,525
results/06_tiger/lib10_MappedOn_tair10,Chr5,21297805,21297997,21297901,192
results/06_tiger/lib11_MappedOn_tair10,Chr1,19528355,19529058,19528707,703
results/06_tiger/lib11_MappedOn_tair10,Chr1,24626336,24627678,24627007,1342
results/06_tiger/lib11_MappedOn_tair10,Chr2,2322170,2322601,2322386,431
results/06_tiger/lib11_MappedOn_tair10,Chr2,8240740,8243770,8242255,3030
results/06_tiger/lib11_MappedOn_tair10,Chr3,9878950,9881700,9880325,2750
results/06_tiger/lib11_MappedOn_tair10,Chr3,16370592,16371018,16370805,426
results/06_tiger/lib11_MappedOn_tair10,Chr3,16581444,16583060,16582252,1616
results/06_tiger/lib11_MappedOn_tair10,Chr4,10595845,10596998,10596421,1153
results/06_tiger/lib11_MappedOn_tair10,Chr5,9047635,9047918,9047777,283
results/06_tiger/lib11_MappedOn_tair10,Chr5,13226153,13226391,13226272,238
results/06_tiger/lib11_MappedOn_tair10,Chr5,23119076,23144398,23131737,25322
results/06_tiger/lib12_MappedOn_tair10,Chr1,850465,858097,854281,7632
results/06_tiger/lib12_MappedOn_tair10,Chr1,12884231,12884467,12884349,236
results/06_tiger/lib12_MappedOn_tair10,Chr1,19095299,19095565,19095432,266
results/06_tiger/lib12_MappedOn_tair10,Chr2,2089511,2181177,2135344,91666
results/06_tiger/lib12_MappedOn_tair10,Chr2,12600269,12601025,12600647,756
results/06_tiger/lib12_MappedOn_tair10,Chr3,3071038,3072535,3071786,1497
results/06_tiger/lib12_MappedOn_tair10,Chr3,10874524,10874583,10874554,59
results/06_tiger/lib12_MappedOn_tair10,Chr4,9067367,9067501,9067434,134
results/06_tiger/lib12_MappedOn_tair10,Chr5,17926702,17926964,17926833,262
results/06_tiger/lib13_MappedOn_tair10,Chr1,24710678,24710873,24710776,195
results/06_tiger/lib13_MappedOn_tair10,Chr1,29746218,29746917,29746568,699
results/06_tiger/lib13_MappedOn_tair10,Chr2,2322039,2322138,2322089,99
results/06_tiger/lib13_MappedOn_tair10,Chr3,9811974,9812694,9812334,720
results/06_tiger/lib13_MappedOn_tair10,Chr4,5211245,5211712,5211479,467
results/06_tiger/lib13_MappedOn_tair10,Chr5,13226391,13226892,13226641,501
results/06_tiger/lib13_MappedOn_tair10,Chr5,25976643,25976943,25976793,300
results/06_tiger/lib14_MappedOn_tair10,Chr1,11672361,11674919,11673640,2558
results/06_tiger/lib14_MappedOn_tair10,Chr2,9987192,9987311,9987252,119
results/06_tiger/lib14_MappedOn_tair10,Chr2,15153981,15154598,15154289,617
results/06_tiger/lib14_MappedOn_tair10,Chr2,18478160,18480167,18479164,2007
results/06_tiger/lib14_MappedOn_tair10,Chr3,9636479,9636788,9636633,309
results/06_tiger/lib14_MappedOn_tair10,Chr3,11905324,11905374,11905349,50
results/06_tiger/lib14_MappedOn_tair10,Chr5,9546464,9546603,9546534,139
results/06_tiger/lib14_MappedOn_tair10,Chr5,9850802,9851526,9851164,724
results/06_tiger/lib14_MappedOn_tair10,Chr5,15389030,15390290,15389660,1260
results/06_tiger/lib15_MappedOn_tair10,Chr1,11755200,11758556,11756878,3356
results/06_tiger/lib15_MappedOn_tair10,Chr2,7816173,7816815,7816494,642
results/06_tiger/lib15_MappedOn_tair10,Chr2,10582822,10583346,10583084,524
results/06_tiger/lib15_MappedOn_tair10,Chr3,9465004,9465254,9465129,250
results/06_tiger/lib15_MappedOn_tair10,Chr3,14750825,14751010,14750917,185
