lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,16439074,16440930,16440002,1856
results/06_tiger/lib1_MappedOn_tair10,Chr2,15004366,15005444,15004905,1078
results/06_tiger/lib1_MappedOn_tair10,Chr3,10360558,10360668,10360613,110
results/06_tiger/lib1_MappedOn_tair10,Chr3,17913572,17913597,17913584,25
results/06_tiger/lib1_MappedOn_tair10,Chr3,20601882,20602120,20602001,238
results/06_tiger/lib1_MappedOn_tair10,Chr3,22982797,22982834,22982815,37
results/06_tiger/lib1_MappedOn_tair10,Chr4,119280,119731,119506,451
results/06_tiger/lib1_MappedOn_tair10,Chr4,10594870,10594904,10594887,34
results/06_tiger/lib1_MappedOn_tair10,Chr4,16979682,16980235,16979958,553
results/06_tiger/lib1_MappedOn_tair10,Chr4,17761038,17762851,17761944,1813
results/06_tiger/lib1_MappedOn_tair10,Chr5,2716717,2720866,2718791,4149
results/06_tiger/lib1_MappedOn_tair10,Chr5,15618984,15619863,15619424,879
results/06_tiger/lib1_MappedOn_tair10,Chr5,16245612,16245703,16245658,91
results/06_tiger/lib1_MappedOn_tair10,Chr5,16300737,16301166,16300951,429
results/06_tiger/lib1_MappedOn_tair10,Chr5,21885535,21886153,21885844,618
results/06_tiger/lib1_MappedOn_tair10,Chr5,26925150,26925270,26925210,120
results/06_tiger/lib10_MappedOn_tair10,Chr1,5295982,5296106,5296044,124
results/06_tiger/lib10_MappedOn_tair10,Chr1,29396596,29397053,29396824,457
results/06_tiger/lib10_MappedOn_tair10,Chr2,14709395,14710908,14710151,1513
results/06_tiger/lib10_MappedOn_tair10,Chr2,17038132,17040670,17039401,2538
results/06_tiger/lib10_MappedOn_tair10,Chr3,2312539,2314667,2313603,2128
results/06_tiger/lib10_MappedOn_tair10,Chr3,2795466,2795632,2795549,166
results/06_tiger/lib10_MappedOn_tair10,Chr3,9215529,9216876,9216203,1347
results/06_tiger/lib10_MappedOn_tair10,Chr3,18912061,18913794,18912927,1733
results/06_tiger/lib10_MappedOn_tair10,Chr3,20659484,20660724,20660104,1240
results/06_tiger/lib10_MappedOn_tair10,Chr4,15390503,15391071,15390787,568
results/06_tiger/lib10_MappedOn_tair10,Chr5,1509410,1509867,1509638,457
results/06_tiger/lib10_MappedOn_tair10,Chr5,5888050,5888255,5888152,205
results/06_tiger/lib10_MappedOn_tair10,Chr5,14822405,14822832,14822619,427
results/06_tiger/lib10_MappedOn_tair10,Chr5,16385625,16387206,16386415,1581
results/06_tiger/lib10_MappedOn_tair10,Chr5,20214294,20214715,20214504,421
results/06_tiger/lib11_MappedOn_tair10,Chr1,9991456,9991731,9991594,275
results/06_tiger/lib11_MappedOn_tair10,Chr1,24391943,24392006,24391975,63
results/06_tiger/lib11_MappedOn_tair10,Chr2,170848,171208,171028,360
results/06_tiger/lib11_MappedOn_tair10,Chr2,15035931,15036407,15036169,476
results/06_tiger/lib11_MappedOn_tair10,Chr2,18464519,18464813,18464666,294
results/06_tiger/lib11_MappedOn_tair10,Chr3,10913634,10914466,10914050,832
results/06_tiger/lib11_MappedOn_tair10,Chr3,11526184,11526187,11526186,3
results/06_tiger/lib11_MappedOn_tair10,Chr3,17126553,17126566,17126559,13
results/06_tiger/lib11_MappedOn_tair10,Chr3,20320090,20321989,20321040,1899
results/06_tiger/lib11_MappedOn_tair10,Chr4,7576911,7577821,7577366,910
results/06_tiger/lib11_MappedOn_tair10,Chr4,8604836,8605447,8605142,611
results/06_tiger/lib11_MappedOn_tair10,Chr4,10271931,10272777,10272354,846
results/06_tiger/lib11_MappedOn_tair10,Chr5,3871424,3881347,3876386,9923
results/06_tiger/lib11_MappedOn_tair10,Chr5,17204928,17204981,17204954,53
results/06_tiger/lib12_MappedOn_tair10,Chr1,10476514,10476816,10476665,302
results/06_tiger/lib12_MappedOn_tair10,Chr2,259426,261926,260676,2500
results/06_tiger/lib12_MappedOn_tair10,Chr2,6888602,6888965,6888784,363
results/06_tiger/lib12_MappedOn_tair10,Chr2,15107931,15108551,15108241,620
results/06_tiger/lib12_MappedOn_tair10,Chr2,15343792,15344588,15344190,796
results/06_tiger/lib12_MappedOn_tair10,Chr2,17200171,17201233,17200702,1062
results/06_tiger/lib12_MappedOn_tair10,Chr3,840038,840112,840075,74
results/06_tiger/lib12_MappedOn_tair10,Chr3,17743107,17743187,17743147,80
results/06_tiger/lib12_MappedOn_tair10,Chr3,20597915,20599389,20598652,1474
results/06_tiger/lib12_MappedOn_tair10,Chr4,1512333,1512368,1512351,35
results/06_tiger/lib12_MappedOn_tair10,Chr4,6627278,6628104,6627691,826
results/06_tiger/lib12_MappedOn_tair10,Chr4,10653011,10653743,10653377,732
results/06_tiger/lib12_MappedOn_tair10,Chr4,17726810,17728871,17727840,2061
results/06_tiger/lib12_MappedOn_tair10,Chr5,1848991,1868216,1858603,19225
results/06_tiger/lib12_MappedOn_tair10,Chr5,3477652,3479006,3478329,1354
results/06_tiger/lib12_MappedOn_tair10,Chr5,16492337,16492561,16492449,224
results/06_tiger/lib12_MappedOn_tair10,Chr5,18023142,18025152,18024147,2010
results/06_tiger/lib12_MappedOn_tair10,Chr5,20266937,20267175,20267056,238
results/06_tiger/lib13_MappedOn_tair10,Chr1,2024006,2024184,2024095,178
results/06_tiger/lib13_MappedOn_tair10,Chr1,5375484,5376368,5375926,884
results/06_tiger/lib13_MappedOn_tair10,Chr1,8154866,8155374,8155120,508
results/06_tiger/lib13_MappedOn_tair10,Chr1,12167024,12167462,12167243,438
results/06_tiger/lib13_MappedOn_tair10,Chr1,24802812,24803094,24802953,282
results/06_tiger/lib13_MappedOn_tair10,Chr2,1917516,1917601,1917558,85
results/06_tiger/lib13_MappedOn_tair10,Chr2,6354107,6354494,6354301,387
results/06_tiger/lib13_MappedOn_tair10,Chr2,12997717,12998008,12997863,291
results/06_tiger/lib13_MappedOn_tair10,Chr2,16495483,16495679,16495581,196
results/06_tiger/lib13_MappedOn_tair10,Chr3,11135871,11136149,11136010,278
results/06_tiger/lib13_MappedOn_tair10,Chr3,22012959,22015114,22014037,2155
results/06_tiger/lib13_MappedOn_tair10,Chr4,5748460,5749312,5748886,852
results/06_tiger/lib13_MappedOn_tair10,Chr4,6720809,6721955,6721382,1146
results/06_tiger/lib13_MappedOn_tair10,Chr4,9676008,9677259,9676634,1251
results/06_tiger/lib13_MappedOn_tair10,Chr4,10143473,10143481,10143477,8
results/06_tiger/lib13_MappedOn_tair10,Chr5,1268651,1268869,1268760,218
results/06_tiger/lib13_MappedOn_tair10,Chr5,4262620,4262853,4262736,233
results/06_tiger/lib13_MappedOn_tair10,Chr5,4947593,4948308,4947951,715
results/06_tiger/lib13_MappedOn_tair10,Chr5,5814852,5815205,5815028,353
