lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,1544496,1544615,1544556,119
results/06_tiger/lib1_MappedOn_tair10,Chr1,29218968,29218971,29218970,3
results/06_tiger/lib1_MappedOn_tair10,Chr2,7383154,7383298,7383226,144
results/06_tiger/lib1_MappedOn_tair10,Chr2,7950281,7951303,7950792,1022
results/06_tiger/lib1_MappedOn_tair10,Chr3,7640651,7641781,7641216,1130
results/06_tiger/lib1_MappedOn_tair10,Chr3,10505921,10505991,10505956,70
results/06_tiger/lib1_MappedOn_tair10,Chr3,19677926,19678348,19678137,422
results/06_tiger/lib1_MappedOn_tair10,Chr4,10379,11538,10959,1159
results/06_tiger/lib1_MappedOn_tair10,Chr4,5370713,5371219,5370966,506
results/06_tiger/lib1_MappedOn_tair10,Chr4,11912716,11914645,11913680,1929
results/06_tiger/lib1_MappedOn_tair10,Chr5,494128,494175,494152,47
results/06_tiger/lib1_MappedOn_tair10,Chr5,13462088,13462497,13462292,409
results/06_tiger/lib1_MappedOn_tair10,Chr5,26236560,26236674,26236617,114
results/06_tiger/lib10_MappedOn_tair10,Chr1,19205750,19206200,19205975,450
results/06_tiger/lib10_MappedOn_tair10,Chr3,5569716,5570483,5570100,767
results/06_tiger/lib10_MappedOn_tair10,Chr3,16928271,16928394,16928333,123
results/06_tiger/lib10_MappedOn_tair10,Chr5,787279,787501,787390,222
results/06_tiger/lib11_MappedOn_tair10,Chr1,6294287,6295079,6294683,792
results/06_tiger/lib11_MappedOn_tair10,Chr1,16483896,16484096,16483996,200
results/06_tiger/lib11_MappedOn_tair10,Chr1,22197232,22197255,22197244,23
results/06_tiger/lib11_MappedOn_tair10,Chr1,23495497,23496852,23496175,1355
results/06_tiger/lib11_MappedOn_tair10,Chr2,5421510,5421645,5421578,135
results/06_tiger/lib11_MappedOn_tair10,Chr3,3155307,3155774,3155541,467
results/06_tiger/lib11_MappedOn_tair10,Chr3,11285215,11285987,11285601,772
results/06_tiger/lib11_MappedOn_tair10,Chr4,154586,154732,154659,146
results/06_tiger/lib11_MappedOn_tair10,Chr5,14628876,14629480,14629178,604
results/06_tiger/lib11_MappedOn_tair10,Chr5,16637960,16638069,16638014,109
results/06_tiger/lib12_MappedOn_tair10,Chr1,2677853,2679553,2678703,1700
results/06_tiger/lib12_MappedOn_tair10,Chr1,19874728,19874812,19874770,84
results/06_tiger/lib12_MappedOn_tair10,Chr3,10386701,10386806,10386753,105
results/06_tiger/lib12_MappedOn_tair10,Chr5,9879411,9879441,9879426,30
results/06_tiger/lib13_MappedOn_tair10,Chr2,6143650,6144065,6143858,415
results/06_tiger/lib13_MappedOn_tair10,Chr3,21092800,21093473,21093136,673
results/06_tiger/lib13_MappedOn_tair10,Chr4,5565022,5565721,5565372,699
results/06_tiger/lib14_MappedOn_tair10,Chr1,1610957,1613038,1611997,2081
results/06_tiger/lib14_MappedOn_tair10,Chr1,16737554,16764514,16751034,26960
results/06_tiger/lib14_MappedOn_tair10,Chr2,5389596,5389778,5389687,182
results/06_tiger/lib14_MappedOn_tair10,Chr2,8218121,8218641,8218381,520
results/06_tiger/lib14_MappedOn_tair10,Chr3,15783790,15783924,15783857,134
results/06_tiger/lib14_MappedOn_tair10,Chr4,525465,526673,526069,1208
results/06_tiger/lib14_MappedOn_tair10,Chr4,6191345,6191743,6191544,398
results/06_tiger/lib14_MappedOn_tair10,Chr4,12118849,12118898,12118873,49
results/06_tiger/lib14_MappedOn_tair10,Chr4,18421878,18422804,18422341,926
results/06_tiger/lib15_MappedOn_tair10,Chr1,23045895,23046520,23046207,625
results/06_tiger/lib15_MappedOn_tair10,Chr1,30011961,30012031,30011996,70
results/06_tiger/lib15_MappedOn_tair10,Chr2,1058557,1059538,1059047,981
results/06_tiger/lib15_MappedOn_tair10,Chr3,4374412,4375154,4374783,742
results/06_tiger/lib15_MappedOn_tair10,Chr3,20050585,20052533,20051559,1948
results/06_tiger/lib15_MappedOn_tair10,Chr3,20395661,20398415,20397038,2754
results/06_tiger/lib15_MappedOn_tair10,Chr3,22129385,22129894,22129639,509
results/06_tiger/lib15_MappedOn_tair10,Chr4,16743812,16744567,16744190,755
results/06_tiger/lib15_MappedOn_tair10,Chr5,8846751,8848670,8847711,1919
results/06_tiger/lib15_MappedOn_tair10,Chr5,22062023,22062725,22062374,702
results/06_tiger/lib16_MappedOn_tair10,Chr1,1162447,1163183,1162815,736
results/06_tiger/lib16_MappedOn_tair10,Chr1,24870276,24877256,24873766,6980
results/06_tiger/lib16_MappedOn_tair10,Chr3,10420375,10421551,10420963,1176
results/06_tiger/lib16_MappedOn_tair10,Chr4,718207,718290,718249,83
results/06_tiger/lib16_MappedOn_tair10,Chr4,15225298,15225364,15225331,66
results/06_tiger/lib17_MappedOn_tair10,Chr1,19666250,19671125,19668688,4875
results/06_tiger/lib17_MappedOn_tair10,Chr1,20426747,20426920,20426833,173
results/06_tiger/lib17_MappedOn_tair10,Chr1,29383729,29383782,29383755,53
results/06_tiger/lib17_MappedOn_tair10,Chr2,1729853,1729946,1729899,93
results/06_tiger/lib17_MappedOn_tair10,Chr3,1907138,1910317,1908728,3179
results/06_tiger/lib17_MappedOn_tair10,Chr3,5446678,5446917,5446798,239
results/06_tiger/lib17_MappedOn_tair10,Chr3,10331529,10331541,10331535,12
results/06_tiger/lib17_MappedOn_tair10,Chr3,22933634,22934278,22933956,644
results/06_tiger/lib17_MappedOn_tair10,Chr4,6845098,6846541,6845820,1443
results/06_tiger/lib17_MappedOn_tair10,Chr4,17660259,17660747,17660503,488
results/06_tiger/lib17_MappedOn_tair10,Chr5,1908628,1909113,1908870,485
results/06_tiger/lib17_MappedOn_tair10,Chr5,24326153,24327971,24327062,1818
results/06_tiger/lib18_MappedOn_tair10,Chr1,12974439,13006264,12990351,31825
results/06_tiger/lib18_MappedOn_tair10,Chr2,9566674,9566817,9566746,143
results/06_tiger/lib18_MappedOn_tair10,Chr4,11352155,11354721,11353438,2566
results/06_tiger/lib18_MappedOn_tair10,Chr5,8164275,8164871,8164573,596
results/06_tiger/lib19_MappedOn_tair10,Chr1,7216299,7222264,7219281,5965
results/06_tiger/lib19_MappedOn_tair10,Chr1,23829907,23830016,23829961,109
results/06_tiger/lib19_MappedOn_tair10,Chr3,9072908,9073150,9073029,242
results/06_tiger/lib19_MappedOn_tair10,Chr4,122489,122528,122509,39
results/06_tiger/lib19_MappedOn_tair10,Chr5,6173945,6174380,6174163,435
results/06_tiger/lib19_MappedOn_tair10,Chr5,14913081,14913264,14913173,183
results/06_tiger/lib19_MappedOn_tair10,Chr5,23221378,23223138,23222258,1760
results/06_tiger/lib2_MappedOn_tair10,Chr1,10971013,10971305,10971159,292
results/06_tiger/lib2_MappedOn_tair10,Chr1,27202618,27202887,27202752,269
results/06_tiger/lib2_MappedOn_tair10,Chr3,12608988,12609048,12609018,60
results/06_tiger/lib2_MappedOn_tair10,Chr4,18070249,18070260,18070255,11
results/06_tiger/lib20_MappedOn_tair10,Chr1,4895565,4896012,4895789,447
results/06_tiger/lib20_MappedOn_tair10,Chr1,17644666,17645144,17644905,478
results/06_tiger/lib20_MappedOn_tair10,Chr1,18970944,19007991,18989468,37047
results/06_tiger/lib20_MappedOn_tair10,Chr1,25617073,25617612,25617343,539
results/06_tiger/lib20_MappedOn_tair10,Chr2,17358181,17358896,17358539,715
results/06_tiger/lib20_MappedOn_tair10,Chr3,2501740,2502882,2502311,1142
results/06_tiger/lib20_MappedOn_tair10,Chr3,10617860,10618021,10617940,161
results/06_tiger/lib20_MappedOn_tair10,Chr4,5641354,5641839,5641596,485
results/06_tiger/lib20_MappedOn_tair10,Chr4,6614840,6616103,6615472,1263
results/06_tiger/lib20_MappedOn_tair10,Chr4,11422389,11423106,11422747,717
results/06_tiger/lib20_MappedOn_tair10,Chr5,6587909,6588302,6588105,393
results/06_tiger/lib20_MappedOn_tair10,Chr5,17530127,17530537,17530332,410
results/06_tiger/lib20_MappedOn_tair10,Chr5,18371332,18372212,18371772,880
results/06_tiger/lib21_MappedOn_tair10,Chr1,4219051,4219587,4219319,536
results/06_tiger/lib21_MappedOn_tair10,Chr2,6168189,6168731,6168460,542
results/06_tiger/lib21_MappedOn_tair10,Chr2,12839468,12840596,12840032,1128
results/06_tiger/lib21_MappedOn_tair10,Chr2,19012554,19013031,19012792,477
results/06_tiger/lib21_MappedOn_tair10,Chr3,2200952,2201903,2201428,951
results/06_tiger/lib21_MappedOn_tair10,Chr3,16839980,16840132,16840056,152
results/06_tiger/lib21_MappedOn_tair10,Chr3,22795189,22795605,22795397,416
results/06_tiger/lib21_MappedOn_tair10,Chr3,23287174,23288099,23287636,925
results/06_tiger/lib21_MappedOn_tair10,Chr4,11934495,11934744,11934619,249
results/06_tiger/lib21_MappedOn_tair10,Chr4,12836305,12837151,12836728,846
results/06_tiger/lib21_MappedOn_tair10,Chr5,631730,631809,631770,79
results/06_tiger/lib21_MappedOn_tair10,Chr5,9917214,9917422,9917318,208
results/06_tiger/lib21_MappedOn_tair10,Chr5,15464376,15464391,15464384,15
results/06_tiger/lib21_MappedOn_tair10,Chr5,23175151,23214138,23194645,38987
results/06_tiger/lib22_MappedOn_tair10,Chr1,16772516,16772524,16772520,8
results/06_tiger/lib22_MappedOn_tair10,Chr1,26266058,26266758,26266408,700
results/06_tiger/lib22_MappedOn_tair10,Chr2,18344270,18350150,18347210,5880
results/06_tiger/lib22_MappedOn_tair10,Chr3,5964303,5964431,5964367,128
results/06_tiger/lib22_MappedOn_tair10,Chr3,10880227,10880432,10880329,205
