lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,16153221,16153276,16153249,55
results/06_tiger/lib1_MappedOn_tair10,Chr1,27090182,27091359,27090770,1177
results/06_tiger/lib1_MappedOn_tair10,Chr3,21677904,21681549,21679726,3645
results/06_tiger/lib1_MappedOn_tair10,Chr3,22160813,22160874,22160843,61
results/06_tiger/lib1_MappedOn_tair10,Chr4,6164515,6164706,6164611,191
results/06_tiger/lib1_MappedOn_tair10,Chr5,1921636,1922659,1922148,1023
results/06_tiger/lib1_MappedOn_tair10,Chr5,8791182,8791949,8791566,767
results/06_tiger/lib1_MappedOn_tair10,Chr5,16270975,16271231,16271103,256
results/06_tiger/lib1_MappedOn_tair10,Chr5,22338382,22339116,22338749,734
results/06_tiger/lib1_MappedOn_tair10,Chr5,23301649,23302140,23301895,491
results/06_tiger/lib10_MappedOn_tair10,Chr1,2171818,2173546,2172682,1728
results/06_tiger/lib10_MappedOn_tair10,Chr1,24253282,24253371,24253326,89
results/06_tiger/lib10_MappedOn_tair10,Chr1,26684814,26684867,26684840,53
results/06_tiger/lib10_MappedOn_tair10,Chr2,853365,853977,853671,612
results/06_tiger/lib10_MappedOn_tair10,Chr2,18519815,18520378,18520097,563
results/06_tiger/lib10_MappedOn_tair10,Chr3,337653,337902,337777,249
results/06_tiger/lib10_MappedOn_tair10,Chr3,18820621,18821782,18821201,1161
results/06_tiger/lib10_MappedOn_tair10,Chr4,11737157,11737216,11737187,59
results/06_tiger/lib10_MappedOn_tair10,Chr5,18948796,18948887,18948842,91
results/06_tiger/lib11_MappedOn_tair10,Chr2,14215050,14216202,14215626,1152
results/06_tiger/lib11_MappedOn_tair10,Chr3,7129679,7130491,7130085,812
results/06_tiger/lib11_MappedOn_tair10,Chr3,21870766,21870955,21870860,189
results/06_tiger/lib11_MappedOn_tair10,Chr3,22008140,22008499,22008320,359
results/06_tiger/lib11_MappedOn_tair10,Chr4,8430060,8430341,8430200,281
results/06_tiger/lib11_MappedOn_tair10,Chr5,1231892,1232534,1232213,642
results/06_tiger/lib11_MappedOn_tair10,Chr5,22866563,22866793,22866678,230
results/06_tiger/lib12_MappedOn_tair10,Chr1,5422858,5423652,5423255,794
results/06_tiger/lib12_MappedOn_tair10,Chr1,26684867,26684976,26684921,109
results/06_tiger/lib12_MappedOn_tair10,Chr1,28939559,28942080,28940819,2521
results/06_tiger/lib12_MappedOn_tair10,Chr2,1547549,1547638,1547593,89
results/06_tiger/lib12_MappedOn_tair10,Chr2,10846713,10847292,10847003,579
results/06_tiger/lib12_MappedOn_tair10,Chr3,8925506,8925667,8925586,161
results/06_tiger/lib12_MappedOn_tair10,Chr3,23092622,23093095,23092858,473
results/06_tiger/lib12_MappedOn_tair10,Chr4,271105,272128,271617,1023
results/06_tiger/lib12_MappedOn_tair10,Chr4,13531246,13546672,13538959,15426
results/06_tiger/lib12_MappedOn_tair10,Chr5,22208041,22208310,22208175,269
results/06_tiger/lib13_MappedOn_tair10,Chr1,20001756,20001784,20001770,28
results/06_tiger/lib13_MappedOn_tair10,Chr1,21960043,21961381,21960712,1338
results/06_tiger/lib13_MappedOn_tair10,Chr1,26910540,26910994,26910767,454
results/06_tiger/lib13_MappedOn_tair10,Chr3,4736780,4737105,4736942,325
results/06_tiger/lib13_MappedOn_tair10,Chr4,1436547,1437284,1436915,737
results/06_tiger/lib13_MappedOn_tair10,Chr4,11420573,11421810,11421191,1237
results/06_tiger/lib13_MappedOn_tair10,Chr4,11827468,11827972,11827720,504
results/06_tiger/lib13_MappedOn_tair10,Chr5,7679724,7679885,7679804,161
results/06_tiger/lib13_MappedOn_tair10,Chr5,15739291,15739356,15739323,65
results/06_tiger/lib14_MappedOn_tair10,Chr2,12004160,12005391,12004776,1231
results/06_tiger/lib14_MappedOn_tair10,Chr2,14647966,14648644,14648305,678
results/06_tiger/lib14_MappedOn_tair10,Chr3,6267014,6267943,6267478,929
results/06_tiger/lib14_MappedOn_tair10,Chr4,16355730,16356088,16355909,358
results/06_tiger/lib14_MappedOn_tair10,Chr4,17564135,17564267,17564201,132
results/06_tiger/lib14_MappedOn_tair10,Chr5,7911910,7912046,7911978,136
results/06_tiger/lib14_MappedOn_tair10,Chr5,14884316,14884623,14884470,307
results/06_tiger/lib14_MappedOn_tair10,Chr5,26249971,26250065,26250018,94
results/06_tiger/lib15_MappedOn_tair10,Chr1,7767631,7768125,7767878,494
results/06_tiger/lib15_MappedOn_tair10,Chr1,8178573,8178740,8178657,167
results/06_tiger/lib15_MappedOn_tair10,Chr1,27302776,27303998,27303387,1222
results/06_tiger/lib15_MappedOn_tair10,Chr1,29242857,29243196,29243027,339
results/06_tiger/lib15_MappedOn_tair10,Chr2,17217700,17217977,17217838,277
results/06_tiger/lib15_MappedOn_tair10,Chr3,5668650,5670119,5669384,1469
results/06_tiger/lib15_MappedOn_tair10,Chr5,2042554,2042922,2042738,368
results/06_tiger/lib15_MappedOn_tair10,Chr5,16861650,16862215,16861932,565
results/06_tiger/lib15_MappedOn_tair10,Chr5,26089503,26089734,26089619,231
results/06_tiger/lib16_MappedOn_tair10,Chr1,12283047,12283334,12283191,287
results/06_tiger/lib16_MappedOn_tair10,Chr1,19701084,19702201,19701642,1117
results/06_tiger/lib16_MappedOn_tair10,Chr2,7962631,7962662,7962647,31
results/06_tiger/lib16_MappedOn_tair10,Chr2,19263594,19266173,19264884,2579
results/06_tiger/lib16_MappedOn_tair10,Chr3,8228534,8229076,8228805,542
results/06_tiger/lib16_MappedOn_tair10,Chr5,19683934,19684096,19684015,162
results/06_tiger/lib16_MappedOn_tair10,Chr5,21914046,21914194,21914120,148
results/06_tiger/lib17_MappedOn_tair10,Chr1,1697143,1701334,1699239,4191
results/06_tiger/lib17_MappedOn_tair10,Chr1,2817314,2817541,2817428,227
results/06_tiger/lib17_MappedOn_tair10,Chr1,7898830,7899341,7899086,511
results/06_tiger/lib17_MappedOn_tair10,Chr1,19388392,19389143,19388768,751
results/06_tiger/lib17_MappedOn_tair10,Chr1,27666520,27666590,27666555,70
results/06_tiger/lib17_MappedOn_tair10,Chr1,28262581,28264017,28263299,1436
results/06_tiger/lib17_MappedOn_tair10,Chr2,15274831,15276064,15275447,1233
results/06_tiger/lib17_MappedOn_tair10,Chr3,4732836,4733969,4733402,1133
results/06_tiger/lib17_MappedOn_tair10,Chr3,18570197,18570667,18570432,470
results/06_tiger/lib17_MappedOn_tair10,Chr3,20033861,20034183,20034022,322
results/06_tiger/lib17_MappedOn_tair10,Chr4,11149580,11149868,11149724,288
results/06_tiger/lib17_MappedOn_tair10,Chr5,524276,524999,524638,723
results/06_tiger/lib17_MappedOn_tair10,Chr5,732614,732968,732791,354
results/06_tiger/lib17_MappedOn_tair10,Chr5,3304332,3304411,3304372,79
results/06_tiger/lib17_MappedOn_tair10,Chr5,6797870,6798740,6798305,870
results/06_tiger/lib18_MappedOn_tair10,Chr1,8045449,8046238,8045843,789
results/06_tiger/lib18_MappedOn_tair10,Chr1,16719037,16719252,16719145,215
results/06_tiger/lib18_MappedOn_tair10,Chr1,27767575,27768362,27767969,787
results/06_tiger/lib18_MappedOn_tair10,Chr2,1254181,1254831,1254506,650
results/06_tiger/lib18_MappedOn_tair10,Chr3,12773841,12773875,12773858,34
results/06_tiger/lib18_MappedOn_tair10,Chr4,8967295,8967403,8967349,108
results/06_tiger/lib18_MappedOn_tair10,Chr5,8228721,8228880,8228801,159
results/06_tiger/lib18_MappedOn_tair10,Chr5,14918600,14919356,14918978,756
results/06_tiger/lib19_MappedOn_tair10,Chr1,6516080,6516138,6516109,58
results/06_tiger/lib19_MappedOn_tair10,Chr1,20303732,20311647,20307690,7915
results/06_tiger/lib19_MappedOn_tair10,Chr1,23807815,23808038,23807927,223
results/06_tiger/lib19_MappedOn_tair10,Chr2,16582796,16584558,16583677,1762
results/06_tiger/lib19_MappedOn_tair10,Chr3,9859579,9860059,9859819,480
results/06_tiger/lib19_MappedOn_tair10,Chr3,20394723,20395661,20395192,938
results/06_tiger/lib19_MappedOn_tair10,Chr4,1338596,1338905,1338750,309
results/06_tiger/lib19_MappedOn_tair10,Chr4,14437834,14439823,14438828,1989
results/06_tiger/lib19_MappedOn_tair10,Chr5,2104631,2104951,2104791,320
results/06_tiger/lib2_MappedOn_tair10,Chr1,8390445,8391346,8390895,901
results/06_tiger/lib2_MappedOn_tair10,Chr1,19706958,19707613,19707286,655
results/06_tiger/lib2_MappedOn_tair10,Chr1,26145354,26145746,26145550,392
results/06_tiger/lib2_MappedOn_tair10,Chr2,8174963,8175118,8175041,155
results/06_tiger/lib2_MappedOn_tair10,Chr2,12231960,12232108,12232034,148
results/06_tiger/lib2_MappedOn_tair10,Chr3,3045767,3046418,3046093,651
results/06_tiger/lib2_MappedOn_tair10,Chr3,17693094,17693520,17693307,426
results/06_tiger/lib2_MappedOn_tair10,Chr3,19733611,19734184,19733897,573
results/06_tiger/lib20_MappedOn_tair10,Chr1,11108609,11108721,11108665,112
results/06_tiger/lib20_MappedOn_tair10,Chr1,12259176,12260047,12259612,871
results/06_tiger/lib20_MappedOn_tair10,Chr1,23247953,23248391,23248172,438
results/06_tiger/lib20_MappedOn_tair10,Chr2,11750571,11750950,11750761,379
results/06_tiger/lib20_MappedOn_tair10,Chr2,18228405,18259080,18243743,30675
results/06_tiger/lib20_MappedOn_tair10,Chr4,17186405,17186897,17186651,492
results/06_tiger/lib21_MappedOn_tair10,Chr1,1508513,1510806,1509659,2293
results/06_tiger/lib21_MappedOn_tair10,Chr1,9830362,9831085,9830724,723
results/06_tiger/lib21_MappedOn_tair10,Chr1,23694575,23694879,23694727,304
results/06_tiger/lib21_MappedOn_tair10,Chr1,27159893,27160118,27160005,225
results/06_tiger/lib21_MappedOn_tair10,Chr2,12581066,12581325,12581196,259
results/06_tiger/lib21_MappedOn_tair10,Chr3,636199,637283,636741,1084
results/06_tiger/lib21_MappedOn_tair10,Chr3,16170983,16171097,16171040,114
results/06_tiger/lib21_MappedOn_tair10,Chr3,18701301,18701326,18701313,25
results/06_tiger/lib21_MappedOn_tair10,Chr3,22947968,22948285,22948126,317
results/06_tiger/lib21_MappedOn_tair10,Chr4,570607,571217,570912,610
results/06_tiger/lib21_MappedOn_tair10,Chr4,18032650,18033856,18033253,1206
results/06_tiger/lib21_MappedOn_tair10,Chr5,4720877,4722589,4721733,1712
results/06_tiger/lib21_MappedOn_tair10,Chr5,10300913,10301025,10300969,112
results/06_tiger/lib21_MappedOn_tair10,Chr5,23340452,23340709,23340580,257
results/06_tiger/lib21_MappedOn_tair10,Chr5,24954768,24955389,24955078,621
results/06_tiger/lib22_MappedOn_tair10,Chr1,10213494,10213781,10213638,287
results/06_tiger/lib22_MappedOn_tair10,Chr2,1136424,1136489,1136456,65
results/06_tiger/lib22_MappedOn_tair10,Chr2,9721843,9722243,9722043,400
results/06_tiger/lib22_MappedOn_tair10,Chr2,14628021,14629025,14628523,1004
results/06_tiger/lib22_MappedOn_tair10,Chr5,23520523,23520581,23520552,58
results/06_tiger/lib23_MappedOn_tair10,Chr1,1888559,1889189,1888874,630
results/06_tiger/lib23_MappedOn_tair10,Chr1,8378987,8379694,8379341,707
results/06_tiger/lib23_MappedOn_tair10,Chr2,12189131,12190145,12189638,1014
results/06_tiger/lib23_MappedOn_tair10,Chr3,2632383,2632803,2632593,420
results/06_tiger/lib23_MappedOn_tair10,Chr3,19631913,19633355,19632634,1442
results/06_tiger/lib23_MappedOn_tair10,Chr3,22947968,22948285,22948126,317
results/06_tiger/lib23_MappedOn_tair10,Chr4,6865998,6866788,6866393,790
results/06_tiger/lib23_MappedOn_tair10,Chr4,13505660,13505722,13505691,62
results/06_tiger/lib23_MappedOn_tair10,Chr4,15233068,15233191,15233130,123
results/06_tiger/lib23_MappedOn_tair10,Chr5,8019923,8020330,8020127,407
