lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,11282975,11314891,11298933,31916
results/06_tiger/lib1_MappedOn_tair10,Chr1,23993206,23993278,23993242,72
results/06_tiger/lib1_MappedOn_tair10,Chr1,28239892,28240306,28240099,414
results/06_tiger/lib1_MappedOn_tair10,Chr2,9985410,9985429,9985420,19
results/06_tiger/lib1_MappedOn_tair10,Chr2,12830317,12830813,12830565,496
results/06_tiger/lib1_MappedOn_tair10,Chr2,14051762,14053701,14052732,1939
results/06_tiger/lib1_MappedOn_tair10,Chr2,17539792,17542037,17540914,2245
results/06_tiger/lib1_MappedOn_tair10,Chr3,5919359,5919545,5919452,186
results/06_tiger/lib1_MappedOn_tair10,Chr3,17920935,17921420,17921177,485
results/06_tiger/lib1_MappedOn_tair10,Chr4,7761211,7761430,7761321,219
results/06_tiger/lib1_MappedOn_tair10,Chr4,8437915,8438653,8438284,738
results/06_tiger/lib1_MappedOn_tair10,Chr4,18259203,18259491,18259347,288
results/06_tiger/lib1_MappedOn_tair10,Chr5,3347574,3348772,3348173,1198
results/06_tiger/lib1_MappedOn_tair10,Chr5,8238937,8239710,8239323,773
results/06_tiger/lib1_MappedOn_tair10,Chr5,14914792,14915796,14915294,1004
results/06_tiger/lib1_MappedOn_tair10,Chr5,17268740,17269403,17269072,663
results/06_tiger/lib1_MappedOn_tair10,Chr5,24768165,24768883,24768524,718
results/06_tiger/lib10_MappedOn_tair10,Chr1,11903456,11908372,11905914,4916
results/06_tiger/lib10_MappedOn_tair10,Chr1,17370260,17370440,17370350,180
results/06_tiger/lib10_MappedOn_tair10,Chr1,27173461,27173722,27173591,261
results/06_tiger/lib10_MappedOn_tair10,Chr2,1579426,1579646,1579536,220
results/06_tiger/lib10_MappedOn_tair10,Chr2,5931010,5931062,5931036,52
results/06_tiger/lib10_MappedOn_tair10,Chr2,10270339,10270440,10270389,101
results/06_tiger/lib10_MappedOn_tair10,Chr2,14558671,14559093,14558882,422
results/06_tiger/lib10_MappedOn_tair10,Chr2,18603110,18603168,18603139,58
results/06_tiger/lib10_MappedOn_tair10,Chr3,9884821,9885531,9885176,710
results/06_tiger/lib10_MappedOn_tair10,Chr3,10529145,10530003,10529574,858
results/06_tiger/lib10_MappedOn_tair10,Chr3,18515877,18516310,18516093,433
results/06_tiger/lib10_MappedOn_tair10,Chr5,8834033,8834800,8834417,767
results/06_tiger/lib10_MappedOn_tair10,Chr5,15227012,15227318,15227165,306
results/06_tiger/lib10_MappedOn_tair10,Chr5,21738619,21738735,21738677,116
results/06_tiger/lib10_MappedOn_tair10,Chr5,23923750,23924028,23923889,278
results/06_tiger/lib11_MappedOn_tair10,Chr1,2145352,2146017,2145684,665
results/06_tiger/lib11_MappedOn_tair10,Chr1,7744445,7744540,7744493,95
results/06_tiger/lib11_MappedOn_tair10,Chr1,18431994,18432321,18432158,327
results/06_tiger/lib11_MappedOn_tair10,Chr1,25409585,25410025,25409805,440
results/06_tiger/lib11_MappedOn_tair10,Chr2,8406670,8407712,8407191,1042
results/06_tiger/lib11_MappedOn_tair10,Chr2,11373150,11373207,11373178,57
results/06_tiger/lib11_MappedOn_tair10,Chr3,2850471,2851449,2850960,978
results/06_tiger/lib11_MappedOn_tair10,Chr3,7909774,7912449,7911112,2675
results/06_tiger/lib11_MappedOn_tair10,Chr3,9600558,9600618,9600588,60
results/06_tiger/lib11_MappedOn_tair10,Chr3,16294201,16294401,16294301,200
results/06_tiger/lib11_MappedOn_tair10,Chr3,18823793,18824142,18823967,349
results/06_tiger/lib11_MappedOn_tair10,Chr3,23286799,23287074,23286937,275
results/06_tiger/lib11_MappedOn_tair10,Chr4,167158,169830,168494,2672
results/06_tiger/lib11_MappedOn_tair10,Chr4,7575042,7576002,7575522,960
results/06_tiger/lib11_MappedOn_tair10,Chr4,8699092,8699423,8699258,331
results/06_tiger/lib11_MappedOn_tair10,Chr5,8609832,8610147,8609990,315
results/06_tiger/lib11_MappedOn_tair10,Chr5,14215582,14215936,14215759,354
results/06_tiger/lib11_MappedOn_tair10,Chr5,18566691,18568359,18567525,1668
results/06_tiger/lib11_MappedOn_tair10,Chr5,22971650,22971899,22971774,249
results/06_tiger/lib12_MappedOn_tair10,Chr1,7103872,7104762,7104317,890
