lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,6619970,6620076,6620023,106
results/06_tiger/lib1_MappedOn_tair10,Chr1,17975588,17975935,17975762,347
results/06_tiger/lib1_MappedOn_tair10,Chr1,19473778,19473949,19473864,171
results/06_tiger/lib1_MappedOn_tair10,Chr1,28545297,28546087,28545692,790
results/06_tiger/lib1_MappedOn_tair10,Chr2,1860896,1860998,1860947,102
results/06_tiger/lib1_MappedOn_tair10,Chr2,10509433,10509563,10509498,130
results/06_tiger/lib1_MappedOn_tair10,Chr3,1507025,1508190,1507607,1165
results/06_tiger/lib1_MappedOn_tair10,Chr3,18477141,18477518,18477329,377
results/06_tiger/lib1_MappedOn_tair10,Chr4,5793003,5794456,5793729,1453
results/06_tiger/lib1_MappedOn_tair10,Chr4,8922529,8922801,8922665,272
results/06_tiger/lib1_MappedOn_tair10,Chr5,7752619,7752722,7752671,103
results/06_tiger/lib1_MappedOn_tair10,Chr5,24374404,24374842,24374623,438
results/06_tiger/lib10_MappedOn_tair10,Chr1,6315038,6315442,6315240,404
results/06_tiger/lib10_MappedOn_tair10,Chr1,20784414,20785179,20784796,765
results/06_tiger/lib10_MappedOn_tair10,Chr2,12353512,12354308,12353910,796
results/06_tiger/lib10_MappedOn_tair10,Chr4,1398389,1399004,1398697,615
results/06_tiger/lib10_MappedOn_tair10,Chr4,12102390,12102917,12102654,527
results/06_tiger/lib10_MappedOn_tair10,Chr4,18206405,18208163,18207284,1758
results/06_tiger/lib10_MappedOn_tair10,Chr5,9864589,9864664,9864627,75
results/06_tiger/lib11_MappedOn_tair10,Chr1,28918510,28919006,28918758,496
results/06_tiger/lib11_MappedOn_tair10,Chr2,19263042,19263461,19263252,419
results/06_tiger/lib11_MappedOn_tair10,Chr3,11803118,11803175,11803146,57
results/06_tiger/lib11_MappedOn_tair10,Chr5,1562536,1563821,1563178,1285
results/06_tiger/lib11_MappedOn_tair10,Chr5,10148140,10148698,10148419,558
results/06_tiger/lib12_MappedOn_tair10,Chr1,4953738,4954007,4953872,269
results/06_tiger/lib12_MappedOn_tair10,Chr1,11224291,11224308,11224299,17
results/06_tiger/lib12_MappedOn_tair10,Chr1,14001398,15983742,14992570,1982344
results/06_tiger/lib12_MappedOn_tair10,Chr2,1696398,1696501,1696450,103
results/06_tiger/lib12_MappedOn_tair10,Chr2,5393223,5393279,5393251,56
results/06_tiger/lib12_MappedOn_tair10,Chr2,14374454,14375065,14374760,611
results/06_tiger/lib12_MappedOn_tair10,Chr3,9649726,9649783,9649754,57
results/06_tiger/lib12_MappedOn_tair10,Chr3,11739302,11739335,11739318,33
results/06_tiger/lib12_MappedOn_tair10,Chr4,491702,492590,492146,888
results/06_tiger/lib12_MappedOn_tair10,Chr4,16309249,16309737,16309493,488
results/06_tiger/lib12_MappedOn_tair10,Chr5,1868216,1872781,1870498,4565
results/06_tiger/lib12_MappedOn_tair10,Chr5,2367234,2367483,2367358,249
results/06_tiger/lib12_MappedOn_tair10,Chr5,16842897,16843192,16843045,295
results/06_tiger/lib13_MappedOn_tair10,Chr1,3561504,3562114,3561809,610
results/06_tiger/lib13_MappedOn_tair10,Chr1,4871543,4871740,4871641,197
results/06_tiger/lib13_MappedOn_tair10,Chr1,8947867,8947942,8947905,75
results/06_tiger/lib13_MappedOn_tair10,Chr1,20437144,20440252,20438698,3108
results/06_tiger/lib13_MappedOn_tair10,Chr1,25250695,25253343,25252019,2648
results/06_tiger/lib13_MappedOn_tair10,Chr3,10738349,10738388,10738369,39
results/06_tiger/lib13_MappedOn_tair10,Chr3,18673005,18674157,18673581,1152
results/06_tiger/lib13_MappedOn_tair10,Chr4,1048582,1048971,1048776,389
results/06_tiger/lib13_MappedOn_tair10,Chr4,17413244,17414726,17413985,1482
results/06_tiger/lib13_MappedOn_tair10,Chr5,7755839,7755857,7755848,18
results/06_tiger/lib13_MappedOn_tair10,Chr5,14717569,14717912,14717741,343
results/06_tiger/lib13_MappedOn_tair10,Chr5,22191807,22192081,22191944,274
results/06_tiger/lib13_MappedOn_tair10,Chr5,25197408,25197899,25197654,491
results/06_tiger/lib14_MappedOn_tair10,Chr1,1694193,1696028,1695111,1835
results/06_tiger/lib14_MappedOn_tair10,Chr3,17254846,17258036,17256441,3190
results/06_tiger/lib14_MappedOn_tair10,Chr4,5366209,5367784,5366997,1575
results/06_tiger/lib14_MappedOn_tair10,Chr5,8031659,8032290,8031975,631
results/06_tiger/lib14_MappedOn_tair10,Chr5,13226933,13227155,13227044,222
results/06_tiger/lib14_MappedOn_tair10,Chr5,18066024,18066749,18066386,725
results/06_tiger/lib14_MappedOn_tair10,Chr5,23081094,23081897,23081496,803
results/06_tiger/lib15_MappedOn_tair10,Chr1,9959677,9960230,9959953,553
results/06_tiger/lib15_MappedOn_tair10,Chr1,20493296,20496195,20494746,2899
results/06_tiger/lib15_MappedOn_tair10,Chr1,29422171,29422753,29422462,582
results/06_tiger/lib15_MappedOn_tair10,Chr2,6850622,6852092,6851357,1470
results/06_tiger/lib15_MappedOn_tair10,Chr3,10772633,10777435,10775034,4802
results/06_tiger/lib15_MappedOn_tair10,Chr3,23265952,23267425,23266688,1473
results/06_tiger/lib15_MappedOn_tair10,Chr4,697260,713314,705287,16054
results/06_tiger/lib15_MappedOn_tair10,Chr4,6821928,6823194,6822561,1266
results/06_tiger/lib15_MappedOn_tair10,Chr4,11490352,11490440,11490396,88
results/06_tiger/lib15_MappedOn_tair10,Chr5,22073660,22074132,22073896,472
results/06_tiger/lib16_MappedOn_tair10,Chr1,559506,560551,560028,1045
results/06_tiger/lib16_MappedOn_tair10,Chr2,1868425,1868671,1868548,246
results/06_tiger/lib16_MappedOn_tair10,Chr2,7994888,7995138,7995013,250
results/06_tiger/lib16_MappedOn_tair10,Chr2,10795050,10796101,10795576,1051
results/06_tiger/lib16_MappedOn_tair10,Chr3,3619114,3620055,3619584,941
results/06_tiger/lib16_MappedOn_tair10,Chr3,9422819,9422995,9422907,176
results/06_tiger/lib16_MappedOn_tair10,Chr3,21686505,21686670,21686587,165
results/06_tiger/lib16_MappedOn_tair10,Chr4,5703603,5704374,5703989,771
results/06_tiger/lib16_MappedOn_tair10,Chr4,7369829,7370740,7370285,911
results/06_tiger/lib16_MappedOn_tair10,Chr5,497370,497380,497375,10
results/06_tiger/lib16_MappedOn_tair10,Chr5,6409787,6410180,6409983,393
results/06_tiger/lib16_MappedOn_tair10,Chr5,9075604,9075992,9075798,388
results/06_tiger/lib16_MappedOn_tair10,Chr5,26729945,26730223,26730084,278
results/06_tiger/lib17_MappedOn_tair10,Chr1,7014014,7014367,7014190,353
results/06_tiger/lib17_MappedOn_tair10,Chr1,16891348,16891973,16891660,625
results/06_tiger/lib17_MappedOn_tair10,Chr1,19331912,19332438,19332175,526
results/06_tiger/lib17_MappedOn_tair10,Chr2,487784,487808,487796,24
results/06_tiger/lib17_MappedOn_tair10,Chr3,4790750,4791052,4790901,302
results/06_tiger/lib17_MappedOn_tair10,Chr3,10190276,10190449,10190362,173
results/06_tiger/lib17_MappedOn_tair10,Chr4,6515322,6515553,6515438,231
results/06_tiger/lib17_MappedOn_tair10,Chr5,9517427,9518089,9517758,662
results/06_tiger/lib17_MappedOn_tair10,Chr5,18212536,18212702,18212619,166
results/06_tiger/lib18_MappedOn_tair10,Chr2,7052855,7052937,7052896,82
results/06_tiger/lib18_MappedOn_tair10,Chr2,17989969,17991797,17990883,1828
results/06_tiger/lib18_MappedOn_tair10,Chr2,19243068,19243085,19243076,17
results/06_tiger/lib18_MappedOn_tair10,Chr3,809961,810135,810048,174
results/06_tiger/lib18_MappedOn_tair10,Chr3,15991816,15994063,15992940,2247
results/06_tiger/lib18_MappedOn_tair10,Chr4,6964554,6964681,6964618,127
results/06_tiger/lib19_MappedOn_tair10,Chr1,447293,449560,448427,2267
results/06_tiger/lib19_MappedOn_tair10,Chr1,18040197,18040777,18040487,580
results/06_tiger/lib19_MappedOn_tair10,Chr2,2899783,2900750,2900267,967
results/06_tiger/lib19_MappedOn_tair10,Chr2,9923657,9932841,9928249,9184
results/06_tiger/lib19_MappedOn_tair10,Chr3,15983327,15983643,15983485,316
results/06_tiger/lib19_MappedOn_tair10,Chr4,122528,122773,122650,245
results/06_tiger/lib19_MappedOn_tair10,Chr4,17230031,17231366,17230699,1335
results/06_tiger/lib19_MappedOn_tair10,Chr5,5274669,5275780,5275225,1111
results/06_tiger/lib19_MappedOn_tair10,Chr5,8124369,8126021,8125195,1652
results/06_tiger/lib19_MappedOn_tair10,Chr5,24708241,24708452,24708347,211
results/06_tiger/lib2_MappedOn_tair10,Chr1,19852841,19853349,19853095,508
results/06_tiger/lib2_MappedOn_tair10,Chr2,9987868,9987872,9987870,4
results/06_tiger/lib2_MappedOn_tair10,Chr2,12293246,12294066,12293656,820
results/06_tiger/lib2_MappedOn_tair10,Chr4,5183574,5184244,5183909,670
results/06_tiger/lib2_MappedOn_tair10,Chr5,9969044,9969375,9969210,331
results/06_tiger/lib2_MappedOn_tair10,Chr5,22277559,22278703,22278131,1144
results/06_tiger/lib20_MappedOn_tair10,Chr1,2439590,2441778,2440684,2188
results/06_tiger/lib20_MappedOn_tair10,Chr1,23286680,23287397,23287038,717
results/06_tiger/lib20_MappedOn_tair10,Chr2,4806175,4806437,4806306,262
results/06_tiger/lib20_MappedOn_tair10,Chr3,7751524,7754506,7753015,2982
results/06_tiger/lib20_MappedOn_tair10,Chr3,10845715,10846116,10845915,401
results/06_tiger/lib20_MappedOn_tair10,Chr5,7268977,7269165,7269071,188
results/06_tiger/lib20_MappedOn_tair10,Chr5,8020330,8021317,8020824,987
results/06_tiger/lib20_MappedOn_tair10,Chr5,22045666,22045727,22045696,61
results/06_tiger/lib21_MappedOn_tair10,Chr1,16430791,16435132,16432961,4341
results/06_tiger/lib21_MappedOn_tair10,Chr2,970822,972306,971564,1484
results/06_tiger/lib21_MappedOn_tair10,Chr2,6669063,6669805,6669434,742
results/06_tiger/lib21_MappedOn_tair10,Chr2,11565998,11566529,11566264,531
results/06_tiger/lib21_MappedOn_tair10,Chr3,513127,513273,513200,146
results/06_tiger/lib21_MappedOn_tair10,Chr3,10355181,10355324,10355253,143
results/06_tiger/lib21_MappedOn_tair10,Chr3,22368481,22368743,22368612,262
results/06_tiger/lib21_MappedOn_tair10,Chr4,1197534,1197624,1197579,90
results/06_tiger/lib21_MappedOn_tair10,Chr5,13880957,13882391,13881674,1434
results/06_tiger/lib22_MappedOn_tair10,Chr1,3587880,3589889,3588884,2009
results/06_tiger/lib22_MappedOn_tair10,Chr1,17120805,17121116,17120961,311
results/06_tiger/lib22_MappedOn_tair10,Chr3,11834812,11834827,11834820,15
results/06_tiger/lib22_MappedOn_tair10,Chr4,460813,460817,460815,4
results/06_tiger/lib22_MappedOn_tair10,Chr4,6352650,6352776,6352713,126
results/06_tiger/lib22_MappedOn_tair10,Chr4,17837703,17840014,17838859,2311
results/06_tiger/lib22_MappedOn_tair10,Chr5,523592,523944,523768,352
results/06_tiger/lib22_MappedOn_tair10,Chr5,17842537,17843870,17843203,1333
results/06_tiger/lib22_MappedOn_tair10,Chr5,21576021,21576929,21576475,908
results/06_tiger/lib23_MappedOn_tair10,Chr1,2353866,2354165,2354016,299
results/06_tiger/lib23_MappedOn_tair10,Chr1,15983029,15983742,15983385,713
results/06_tiger/lib23_MappedOn_tair10,Chr1,29198915,29199476,29199195,561
results/06_tiger/lib23_MappedOn_tair10,Chr2,289413,289609,289511,196
results/06_tiger/lib23_MappedOn_tair10,Chr3,8816401,8816404,8816403,3
results/06_tiger/lib23_MappedOn_tair10,Chr4,6100626,6102033,6101330,1407
results/06_tiger/lib23_MappedOn_tair10,Chr5,8042426,8042598,8042512,172
results/06_tiger/lib24_MappedOn_tair10,Chr1,8146475,8146731,8146603,256
results/06_tiger/lib24_MappedOn_tair10,Chr1,8679705,8680003,8679854,298
results/06_tiger/lib24_MappedOn_tair10,Chr1,28234073,28234084,28234079,11
results/06_tiger/lib24_MappedOn_tair10,Chr2,2901400,2901696,2901548,296
results/06_tiger/lib24_MappedOn_tair10,Chr2,12332210,12333915,12333062,1705
results/06_tiger/lib24_MappedOn_tair10,Chr3,1065668,1066606,1066137,938
results/06_tiger/lib24_MappedOn_tair10,Chr4,17467919,17468311,17468115,392
results/06_tiger/lib24_MappedOn_tair10,Chr5,4158621,4159259,4158940,638
results/06_tiger/lib24_MappedOn_tair10,Chr5,26245810,26246502,26246156,692
results/06_tiger/lib25_MappedOn_tair10,Chr1,1146913,1147537,1147225,624
results/06_tiger/lib25_MappedOn_tair10,Chr2,7365362,7365632,7365497,270
results/06_tiger/lib25_MappedOn_tair10,Chr3,17998835,17998989,17998912,154
results/06_tiger/lib25_MappedOn_tair10,Chr5,26816922,26817862,26817392,940
results/06_tiger/lib26_MappedOn_tair10,Chr1,11472354,11472629,11472492,275
results/06_tiger/lib26_MappedOn_tair10,Chr2,8295598,8298150,8296874,2552
results/06_tiger/lib26_MappedOn_tair10,Chr2,16786973,16788136,16787555,1163
results/06_tiger/lib26_MappedOn_tair10,Chr3,2573823,2574560,2574191,737
results/06_tiger/lib26_MappedOn_tair10,Chr4,6363826,6364538,6364182,712
results/06_tiger/lib26_MappedOn_tair10,Chr5,22828761,22829025,22828893,264
results/06_tiger/lib26_MappedOn_tair10,Chr5,26183790,26184240,26184015,450
results/06_tiger/lib27_MappedOn_tair10,Chr1,4888116,4889097,4888606,981
results/06_tiger/lib27_MappedOn_tair10,Chr1,12182462,12182726,12182594,264
results/06_tiger/lib27_MappedOn_tair10,Chr1,29482150,29482276,29482213,126
results/06_tiger/lib27_MappedOn_tair10,Chr2,19013031,19013900,19013465,869
