lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,3887461,3887839,3887650,378
results/06_tiger/lib1_MappedOn_tair10,Chr3,8288928,8289755,8289342,827
results/06_tiger/lib1_MappedOn_tair10,Chr5,21127924,21128507,21128216,583
results/06_tiger/lib10_MappedOn_tair10,Chr1,9459155,9459186,9459171,31
results/06_tiger/lib10_MappedOn_tair10,Chr3,9166335,9166453,9166394,118
results/06_tiger/lib10_MappedOn_tair10,Chr3,9464414,9465004,9464709,590
results/06_tiger/lib10_MappedOn_tair10,Chr3,17868086,17868405,17868246,319
results/06_tiger/lib10_MappedOn_tair10,Chr4,6077914,6078009,6077962,95
results/06_tiger/lib10_MappedOn_tair10,Chr5,17299227,17299244,17299235,17
results/06_tiger/lib11_MappedOn_tair10,Chr1,7382441,7383357,7382899,916
results/06_tiger/lib11_MappedOn_tair10,Chr1,24902280,24902595,24902438,315
results/06_tiger/lib11_MappedOn_tair10,Chr2,13995082,13996526,13995804,1444
results/06_tiger/lib11_MappedOn_tair10,Chr2,18549418,18552094,18550756,2676
results/06_tiger/lib11_MappedOn_tair10,Chr3,14953293,14953502,14953397,209
results/06_tiger/lib11_MappedOn_tair10,Chr5,7912901,7912931,7912916,30
results/06_tiger/lib12_MappedOn_tair10,Chr1,11534759,11535637,11535198,878
results/06_tiger/lib12_MappedOn_tair10,Chr1,18169973,18170814,18170393,841
results/06_tiger/lib12_MappedOn_tair10,Chr3,8806602,8806701,8806652,99
results/06_tiger/lib12_MappedOn_tair10,Chr5,621224,621592,621408,368
results/06_tiger/lib12_MappedOn_tair10,Chr5,9278608,9278659,9278634,51
results/06_tiger/lib12_MappedOn_tair10,Chr5,16887508,16887582,16887545,74
results/06_tiger/lib13_MappedOn_tair10,Chr1,11619213,11619368,11619291,155
results/06_tiger/lib13_MappedOn_tair10,Chr1,27464028,27466425,27465226,2397
results/06_tiger/lib13_MappedOn_tair10,Chr2,637436,637771,637604,335
results/06_tiger/lib13_MappedOn_tair10,Chr2,9707716,9708633,9708174,917
results/06_tiger/lib13_MappedOn_tair10,Chr2,14544910,14545164,14545037,254
results/06_tiger/lib13_MappedOn_tair10,Chr3,9970023,9971356,9970689,1333
results/06_tiger/lib13_MappedOn_tair10,Chr4,9595376,9595646,9595511,270
results/06_tiger/lib13_MappedOn_tair10,Chr4,18295387,18295625,18295506,238
results/06_tiger/lib13_MappedOn_tair10,Chr5,1186915,1187499,1187207,584
results/06_tiger/lib13_MappedOn_tair10,Chr5,8992438,8993152,8992795,714
results/06_tiger/lib13_MappedOn_tair10,Chr5,16241647,16241955,16241801,308
results/06_tiger/lib14_MappedOn_tair10,Chr1,17014420,17014482,17014451,62
results/06_tiger/lib14_MappedOn_tair10,Chr3,10616463,10617035,10616749,572
results/06_tiger/lib14_MappedOn_tair10,Chr4,10164327,10165376,10164851,1049
results/06_tiger/lib14_MappedOn_tair10,Chr5,14535433,14535608,14535521,175
results/06_tiger/lib15_MappedOn_tair10,Chr1,9175263,9176119,9175691,856
results/06_tiger/lib15_MappedOn_tair10,Chr1,19873401,19874388,19873895,987
results/06_tiger/lib15_MappedOn_tair10,Chr1,25694605,25695221,25694913,616
results/06_tiger/lib15_MappedOn_tair10,Chr2,5535856,5536070,5535963,214
results/06_tiger/lib15_MappedOn_tair10,Chr2,10124915,10125551,10125233,636
results/06_tiger/lib15_MappedOn_tair10,Chr3,8565423,8567682,8566553,2259
results/06_tiger/lib15_MappedOn_tair10,Chr3,10047717,10048158,10047937,441
results/06_tiger/lib15_MappedOn_tair10,Chr4,13356735,13357516,13357125,781
results/06_tiger/lib16_MappedOn_tair10,Chr1,3486161,3486885,3486523,724
results/06_tiger/lib16_MappedOn_tair10,Chr1,17249758,17252626,17251192,2868
results/06_tiger/lib16_MappedOn_tair10,Chr3,9738963,9739027,9738995,64
results/06_tiger/lib16_MappedOn_tair10,Chr3,11207467,11207569,11207518,102
results/06_tiger/lib16_MappedOn_tair10,Chr4,9925682,9925864,9925773,182
results/06_tiger/lib16_MappedOn_tair10,Chr4,12426805,12428372,12427589,1567
results/06_tiger/lib16_MappedOn_tair10,Chr5,2947990,2948884,2948437,894
results/06_tiger/lib16_MappedOn_tair10,Chr5,16616120,16616295,16616208,175
results/06_tiger/lib16_MappedOn_tair10,Chr5,18604256,18604365,18604310,109
results/06_tiger/lib17_MappedOn_tair10,Chr2,10794804,10796101,10795452,1297
results/06_tiger/lib17_MappedOn_tair10,Chr3,6188101,6188348,6188225,247
results/06_tiger/lib17_MappedOn_tair10,Chr3,8721290,8722381,8721836,1091
results/06_tiger/lib17_MappedOn_tair10,Chr4,5370713,5371219,5370966,506
results/06_tiger/lib17_MappedOn_tair10,Chr4,7799174,7799333,7799254,159
results/06_tiger/lib18_MappedOn_tair10,Chr1,11766597,11767845,11767221,1248
results/06_tiger/lib18_MappedOn_tair10,Chr3,6901830,6902332,6902081,502
results/06_tiger/lib18_MappedOn_tair10,Chr4,6307244,6307671,6307458,427
results/06_tiger/lib18_MappedOn_tair10,Chr4,6738082,6738136,6738109,54
results/06_tiger/lib18_MappedOn_tair10,Chr5,9198712,9199008,9198860,296
results/06_tiger/lib18_MappedOn_tair10,Chr5,21109460,21110259,21109860,799
results/06_tiger/lib19_MappedOn_tair10,Chr1,11919805,11921283,11920544,1478
results/06_tiger/lib19_MappedOn_tair10,Chr1,17106645,17106988,17106817,343
results/06_tiger/lib19_MappedOn_tair10,Chr1,24629038,24632225,24630632,3187
results/06_tiger/lib19_MappedOn_tair10,Chr2,445657,446406,446031,749
results/06_tiger/lib19_MappedOn_tair10,Chr2,6520223,6520629,6520426,406
results/06_tiger/lib19_MappedOn_tair10,Chr3,3659986,3661889,3660938,1903
results/06_tiger/lib19_MappedOn_tair10,Chr4,82605,83940,83273,1335
results/06_tiger/lib19_MappedOn_tair10,Chr4,17047926,17048334,17048130,408
results/06_tiger/lib19_MappedOn_tair10,Chr5,9519319,9519354,9519337,35
results/06_tiger/lib19_MappedOn_tair10,Chr5,9712842,9713163,9713002,321
results/06_tiger/lib2_MappedOn_tair10,Chr1,12296953,12297201,12297077,248
results/06_tiger/lib2_MappedOn_tair10,Chr1,18264644,18265647,18265146,1003
results/06_tiger/lib2_MappedOn_tair10,Chr1,24064998,24065871,24065434,873
results/06_tiger/lib2_MappedOn_tair10,Chr2,475938,476184,476061,246
