lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,16664508,16664948,16664728,440
results/06_tiger/lib1_MappedOn_tair10,Chr1,17212100,17213050,17212575,950
results/06_tiger/lib1_MappedOn_tair10,Chr2,9541565,9543440,9542503,1875
results/06_tiger/lib1_MappedOn_tair10,Chr3,5568581,5568989,5568785,408
results/06_tiger/lib1_MappedOn_tair10,Chr3,10137915,10138784,10138349,869
results/06_tiger/lib1_MappedOn_tair10,Chr4,5232878,5233063,5232970,185
results/06_tiger/lib1_MappedOn_tair10,Chr4,7305435,7305504,7305469,69
results/06_tiger/lib1_MappedOn_tair10,Chr5,8990695,8991365,8991030,670
results/06_tiger/lib1_MappedOn_tair10,Chr5,14916023,14916273,14916148,250
results/06_tiger/lib10_MappedOn_tair10,Chr1,4489867,4490313,4490090,446
results/06_tiger/lib10_MappedOn_tair10,Chr2,17472703,17472853,17472778,150
results/06_tiger/lib10_MappedOn_tair10,Chr3,10847749,10847811,10847780,62
results/06_tiger/lib10_MappedOn_tair10,Chr4,17335312,17335632,17335472,320
results/06_tiger/lib10_MappedOn_tair10,Chr5,9855408,9855906,9855657,498
results/06_tiger/lib11_MappedOn_tair10,Chr1,4131306,4131398,4131352,92
results/06_tiger/lib11_MappedOn_tair10,Chr1,8432335,8432475,8432405,140
results/06_tiger/lib11_MappedOn_tair10,Chr1,23022494,23023697,23023096,1203
results/06_tiger/lib11_MappedOn_tair10,Chr3,7555289,7555776,7555533,487
results/06_tiger/lib11_MappedOn_tair10,Chr3,9916407,9918859,9917633,2452
results/06_tiger/lib11_MappedOn_tair10,Chr4,5800426,5800611,5800518,185
results/06_tiger/lib11_MappedOn_tair10,Chr5,6439869,6440767,6440318,898
results/06_tiger/lib11_MappedOn_tair10,Chr5,10655393,10655463,10655428,70
results/06_tiger/lib11_MappedOn_tair10,Chr5,23219077,23221364,23220221,2287
results/06_tiger/lib12_MappedOn_tair10,Chr1,563367,563546,563457,179
results/06_tiger/lib12_MappedOn_tair10,Chr1,6965177,6966146,6965661,969
results/06_tiger/lib12_MappedOn_tair10,Chr2,5073547,5073796,5073671,249
results/06_tiger/lib12_MappedOn_tair10,Chr2,16420434,16421415,16420924,981
results/06_tiger/lib12_MappedOn_tair10,Chr3,9842192,9843072,9842632,880
results/06_tiger/lib12_MappedOn_tair10,Chr4,5446726,5447555,5447140,829
results/06_tiger/lib12_MappedOn_tair10,Chr5,10486855,10487040,10486947,185
results/06_tiger/lib12_MappedOn_tair10,Chr5,25265310,25266388,25265849,1078
results/06_tiger/lib12_MappedOn_tair10,Chr5,26234473,26235097,26234785,624
results/06_tiger/lib13_MappedOn_tair10,Chr1,677150,677970,677560,820
results/06_tiger/lib13_MappedOn_tair10,Chr1,23912304,23912336,23912320,32
results/06_tiger/lib13_MappedOn_tair10,Chr1,27601990,27609090,27605540,7100
results/06_tiger/lib13_MappedOn_tair10,Chr3,10192962,10193206,10193084,244
results/06_tiger/lib13_MappedOn_tair10,Chr3,18066235,18066435,18066335,200
results/06_tiger/lib13_MappedOn_tair10,Chr4,5839063,5839832,5839447,769
results/06_tiger/lib13_MappedOn_tair10,Chr4,18406147,18406634,18406391,487
results/06_tiger/lib14_MappedOn_tair10,Chr1,13052023,13054815,13053419,2792
results/06_tiger/lib14_MappedOn_tair10,Chr1,29563258,29563629,29563444,371
results/06_tiger/lib14_MappedOn_tair10,Chr2,10448508,10448757,10448632,249
results/06_tiger/lib14_MappedOn_tair10,Chr3,8941652,8941940,8941796,288
results/06_tiger/lib14_MappedOn_tair10,Chr3,9764240,9764345,9764292,105
results/06_tiger/lib14_MappedOn_tair10,Chr4,7035471,7036002,7035737,531
results/06_tiger/lib14_MappedOn_tair10,Chr5,15465919,15466448,15466183,529
results/06_tiger/lib15_MappedOn_tair10,Chr1,106129,108696,107413,2567
results/06_tiger/lib15_MappedOn_tair10,Chr1,17716645,17716678,17716661,33
results/06_tiger/lib15_MappedOn_tair10,Chr1,25014190,25014371,25014280,181
results/06_tiger/lib15_MappedOn_tair10,Chr1,29762476,29763058,29762767,582
results/06_tiger/lib15_MappedOn_tair10,Chr2,10561035,10561246,10561141,211
results/06_tiger/lib15_MappedOn_tair10,Chr2,11759480,11760286,11759883,806
results/06_tiger/lib15_MappedOn_tair10,Chr3,9960726,9962277,9961502,1551
results/06_tiger/lib15_MappedOn_tair10,Chr4,1590442,1590790,1590616,348
results/06_tiger/lib15_MappedOn_tair10,Chr5,9830595,9831217,9830906,622
results/06_tiger/lib16_MappedOn_tair10,Chr1,13140907,13141372,13141139,465
results/06_tiger/lib16_MappedOn_tair10,Chr2,1926717,1926794,1926755,77
results/06_tiger/lib16_MappedOn_tair10,Chr2,9821884,9822898,9822391,1014
results/06_tiger/lib16_MappedOn_tair10,Chr3,10586691,10586781,10586736,90
results/06_tiger/lib16_MappedOn_tair10,Chr4,12233877,12233994,12233935,117
results/06_tiger/lib16_MappedOn_tair10,Chr5,14531232,14531573,14531402,341
results/06_tiger/lib17_MappedOn_tair10,Chr1,17303050,17303262,17303156,212
results/06_tiger/lib17_MappedOn_tair10,Chr1,26422573,26423626,26423099,1053
results/06_tiger/lib17_MappedOn_tair10,Chr2,151274,151543,151408,269
results/06_tiger/lib17_MappedOn_tair10,Chr2,6948931,6949037,6948984,106
results/06_tiger/lib17_MappedOn_tair10,Chr2,11884731,11886496,11885613,1765
results/06_tiger/lib17_MappedOn_tair10,Chr3,10456270,10456659,10456464,389
results/06_tiger/lib17_MappedOn_tair10,Chr3,11104380,11104496,11104438,116
results/06_tiger/lib17_MappedOn_tair10,Chr5,18659471,18661327,18660399,1856
