lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,6866884,6867502,6867193,618
results/06_tiger/lib1_MappedOn_tair10,Chr2,10188429,10189782,10189105,1353
results/06_tiger/lib1_MappedOn_tair10,Chr3,11094540,11096347,11095444,1807
results/06_tiger/lib1_MappedOn_tair10,Chr3,15700406,15705634,15703020,5228
results/06_tiger/lib1_MappedOn_tair10,Chr4,5244091,5244308,5244199,217
results/06_tiger/lib1_MappedOn_tair10,Chr4,7961571,7961854,7961713,283
results/06_tiger/lib1_MappedOn_tair10,Chr5,3048777,3048902,3048839,125
results/06_tiger/lib1_MappedOn_tair10,Chr5,9716901,9717038,9716969,137
results/06_tiger/lib1_MappedOn_tair10,Chr5,26766446,26768820,26767633,2374
results/06_tiger/lib10_MappedOn_tair10,Chr1,16777356,16777627,16777492,271
results/06_tiger/lib10_MappedOn_tair10,Chr1,22421153,22421929,22421541,776
results/06_tiger/lib10_MappedOn_tair10,Chr1,27170541,27171620,27171081,1079
results/06_tiger/lib10_MappedOn_tair10,Chr2,594925,595133,595029,208
results/06_tiger/lib10_MappedOn_tair10,Chr2,16694743,16695529,16695136,786
results/06_tiger/lib10_MappedOn_tair10,Chr3,1469415,1470615,1470015,1200
results/06_tiger/lib10_MappedOn_tair10,Chr3,16741780,16743016,16742398,1236
results/06_tiger/lib10_MappedOn_tair10,Chr4,16747876,16748312,16748094,436
results/06_tiger/lib10_MappedOn_tair10,Chr5,25843548,25843784,25843666,236
results/06_tiger/lib11_MappedOn_tair10,Chr1,18181724,18182647,18182186,923
results/06_tiger/lib11_MappedOn_tair10,Chr2,7229567,7229654,7229611,87
results/06_tiger/lib11_MappedOn_tair10,Chr4,5986330,5986767,5986548,437
results/06_tiger/lib11_MappedOn_tair10,Chr4,13217351,13217586,13217469,235
results/06_tiger/lib11_MappedOn_tair10,Chr5,9050101,9051311,9050706,1210
results/06_tiger/lib12_MappedOn_tair10,Chr1,7312177,7312520,7312349,343
results/06_tiger/lib12_MappedOn_tair10,Chr1,17963284,17963708,17963496,424
results/06_tiger/lib12_MappedOn_tair10,Chr2,6758522,6758681,6758602,159
results/06_tiger/lib12_MappedOn_tair10,Chr3,3090644,3091683,3091164,1039
results/06_tiger/lib12_MappedOn_tair10,Chr3,16809083,16809178,16809131,95
results/06_tiger/lib12_MappedOn_tair10,Chr4,1399004,1399374,1399189,370
results/06_tiger/lib12_MappedOn_tair10,Chr4,8980943,8981006,8980975,63
results/06_tiger/lib12_MappedOn_tair10,Chr5,13470581,13470955,13470768,374
results/06_tiger/lib12_MappedOn_tair10,Chr5,26531283,26531901,26531592,618
results/06_tiger/lib13_MappedOn_tair10,Chr1,6138892,6139753,6139322,861
results/06_tiger/lib13_MappedOn_tair10,Chr1,19314323,19314949,19314636,626
results/06_tiger/lib13_MappedOn_tair10,Chr1,25911230,25912006,25911618,776
results/06_tiger/lib13_MappedOn_tair10,Chr2,13014497,13014608,13014553,111
results/06_tiger/lib13_MappedOn_tair10,Chr3,9376126,9377472,9376799,1346
results/06_tiger/lib13_MappedOn_tair10,Chr4,5371924,5372087,5372006,163
results/06_tiger/lib13_MappedOn_tair10,Chr4,17534653,17535112,17534883,459
results/06_tiger/lib13_MappedOn_tair10,Chr5,8032721,8032820,8032771,99
results/06_tiger/lib14_MappedOn_tair10,Chr1,5129387,5129597,5129492,210
results/06_tiger/lib14_MappedOn_tair10,Chr1,9958615,9958665,9958640,50
results/06_tiger/lib14_MappedOn_tair10,Chr1,25934003,25934094,25934049,91
results/06_tiger/lib14_MappedOn_tair10,Chr3,9043799,9043978,9043889,179
results/06_tiger/lib14_MappedOn_tair10,Chr4,156431,156660,156545,229
results/06_tiger/lib14_MappedOn_tair10,Chr4,7368777,7368881,7368829,104
results/06_tiger/lib14_MappedOn_tair10,Chr5,10260844,10261005,10260924,161
results/06_tiger/lib14_MappedOn_tair10,Chr5,21872490,21873886,21873188,1396
results/06_tiger/lib15_MappedOn_tair10,Chr1,24213475,24213679,24213577,204
results/06_tiger/lib15_MappedOn_tair10,Chr2,151543,154196,152869,2653
results/06_tiger/lib15_MappedOn_tair10,Chr2,5919551,5919616,5919583,65
results/06_tiger/lib15_MappedOn_tair10,Chr3,17886265,17887548,17886907,1283
results/06_tiger/lib15_MappedOn_tair10,Chr5,15797809,15797989,15797899,180
results/06_tiger/lib15_MappedOn_tair10,Chr5,25653943,25654273,25654108,330
results/06_tiger/lib16_MappedOn_tair10,Chr1,18179592,18180239,18179916,647
results/06_tiger/lib16_MappedOn_tair10,Chr4,1062111,1062297,1062204,186
results/06_tiger/lib16_MappedOn_tair10,Chr4,9995729,9996262,9995995,533
results/06_tiger/lib16_MappedOn_tair10,Chr5,8733909,8735564,8734737,1655
results/06_tiger/lib16_MappedOn_tair10,Chr5,24388557,24388948,24388753,391
results/06_tiger/lib17_MappedOn_tair10,Chr1,7819680,7821011,7820346,1331
results/06_tiger/lib17_MappedOn_tair10,Chr1,22876842,22876922,22876882,80
results/06_tiger/lib17_MappedOn_tair10,Chr2,15377532,15378644,15378088,1112
results/06_tiger/lib17_MappedOn_tair10,Chr3,3290911,3308301,3299606,17390
results/06_tiger/lib17_MappedOn_tair10,Chr4,596680,596703,596692,23
results/06_tiger/lib17_MappedOn_tair10,Chr5,14536000,14536442,14536221,442
results/06_tiger/lib18_MappedOn_tair10,Chr1,12612842,12614203,12613522,1361
results/06_tiger/lib18_MappedOn_tair10,Chr2,2162369,2181177,2171773,18808
results/06_tiger/lib18_MappedOn_tair10,Chr2,5520594,5522177,5521386,1583
results/06_tiger/lib18_MappedOn_tair10,Chr4,256116,256287,256202,171
results/06_tiger/lib18_MappedOn_tair10,Chr4,11722192,11722896,11722544,704
results/06_tiger/lib18_MappedOn_tair10,Chr5,10799034,10799150,10799092,116
results/06_tiger/lib19_MappedOn_tair10,Chr1,13142639,13142745,13142692,106
results/06_tiger/lib19_MappedOn_tair10,Chr1,17060556,17061140,17060848,584
results/06_tiger/lib19_MappedOn_tair10,Chr1,23248391,23250948,23249669,2557
results/06_tiger/lib19_MappedOn_tair10,Chr2,6543825,6544214,6544019,389
